Symbol,Bias,Score,Trend,Seasonality,COT,Crowd,GDP,mPMI,sPMI,RetailSales,CnsmrConf,CPI,PPI,PCE,Rates,NFP,UnempRate,UnempClaims,ADP,JOLTS,A1DayDelta
AUDNZD,Very Bullish,12,2,1,0,1,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0
AUDUSD,Very Bullish,9,2,-1,0,1,1,2,0,1,2,1,0,0,-1,-1,-1,1,1,1,-2
JP-YEN,Very Bullish,8,2,-1,1,1,1,-1,1,1,0,1,1,-1,1,0,1,0,0,0,5
GBPNZD,Very Bullish,7,2,1,-2,1,0,2,0,0,2,-1,2,0,0,0,0,0,0,0,0
AUDCAD,Bullish,6,2,-1,0,1,0,2,0,1,2,0,0,0,0,0,-1,0,0,0,2
AU-DOLLAR,Bullish,6,2,-1,1,1,1,0,1,0,0,1,1,0,0,0,-1,0,0,0,0
USDZAR,Bullish,5,2,1,2,0,1,0,1,0,-1,1,-2,0,1,1,1,-1,-1,-1,3
AUDCHF,Bullish,4,2,-1,2,1,0,0,2,-1,1,0,-1,0,0,0,-1,0,0,0,1
EURNZD,Neutral,3,2,1,-2,1,1,0,0,0,1,-1,0,0,0,0,0,0,0,0,-2
GOLD,Neutral,2,-2,-1,2,1,0,1,-1,1,1,0,-1,0,-1,-1,0,1,1,1,2
CA-DOLLAR,Neutral,2,1,-1,0,0,1,-1,1,-1,0,1,1,0,0,0,0,0,0,0,0
US10T,Neutral,1,-2,1,0,0,0,1,-1,1,1,0,-1,0,-1,-1,0,1,1,1,1
NIKKEI,Neutral,1,-2,1,2,0,1,-1,1,1,-1,-1,-1,1,-1,0,1,0,0,0,0
US-DOLLAR,Neutral,0,-1,1,2,0,0,-1,1,-1,-1,0,1,0,1,1,0,-1,-1,-1,2
SILVER,Neutral,0,-2,-1,0,1,0,1,-1,1,1,0,-1,0,-1,-1,0,1,1,1,-2
EURGBP,Neutral,0,2,1,0,1,1,-2,0,0,-1,0,-2,0,0,0,0,0,0,0,-2
CADCHF,Neutral,0,2,-1,2,1,0,-2,2,-2,-1,0,-1,0,0,0,0,0,0,0,-1
GBPUSD,Neutral,-1,-2,-1,-2,0,0,2,-2,0,2,0,2,0,-1,-1,-1,1,1,1,-2
GBPCHF,Neutral,-1,2,-1,0,1,-1,0,0,-2,1,-1,1,0,0,0,-1,0,0,0,1
CHINA50,Neutral,-1,-2,1,0,1,0,1,1,-1,0,0,-1,0,0,0,-1,0,0,0,1
USOIL,Neutral,-2,2,1,0,1,0,-1,1,-1,-1,0,-1,0,-1,1,0,-1,-1,-1,-2
USDCHF,Neutral,-2,2,1,2,0,-1,-2,2,-2,-1,-1,-1,0,1,1,0,-1,-1,-1,3
CH-FRANC,Neutral,-2,-2,-1,-2,0,1,1,-1,1,0,1,0,0,0,0,0,0,0,0,0
USDCAD,Neutral,-3,-1,1,0,0,-1,0,0,0,0,-1,0,0,1,1,0,,,,2
COPPER,Neutral,-3,1,1,2,-1,0,-1,1,-1,-1,0,-1,0,-1,1,0,,,,1
