currency,bias,totalScore,gdpGrowth,unemploymentRate,interestRate,cpiYoY,realYield,gdpScore,unemploymentScore,cpiScore,interestRateScore
CHF,Bullish,71,1.50,3.00,0.00,0.40,-0.40,25,21,25,0
USD,Bullish,66,1.50,4.10,3.75,3.40,0.35,25,14,5,22
JPY,Neutral,46,0.30,2.40,1.00,1.90,-0.90,0,25,15,6
GBP,Neutral,41,0.40,4.90,3.75,2.90,0.85,2,9,8,22
AUD,Neutral,41,0.30,4.50,4.35,3.50,0.85,0,12,4,25
CAD,Bearish,30,0.80,6.40,2.25,3.00,-0.75,10,0,7,13
NZD,Bearish,29,0.80,5.60,2.50,4.10,-1.60,10,5,0,14
EUR,Bearish,25,0.40,6.30,2.40,2.90,-0.50,2,1,8,14
